,university_state,schoolname,state,public,year,CI_ever,No_CI_years,CI_opening,CI_survival_years,federal_share,total_china_donation,cumulative_china_donations,all_year_federal10,all_year_tot_rev_wo_auxother_sum,all_year_china_donations,all_year_foreign_donations,china_donation_log_non_norm
0,Adelphi University_NY,Adelphi University,NY,0.0,1995,0.0,1.0,,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
1,Adelphi University_NY,Adelphi University,NY,0.0,1996,0.0,2.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
2,Adelphi University_NY,Adelphi University,NY,0.0,1997,0.0,3.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
3,Adelphi University_NY,Adelphi University,NY,0.0,1998,0.0,4.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
4,Adelphi University_NY,Adelphi University,NY,0.0,1999,0.0,5.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
5,Adelphi University_NY,Adelphi University,NY,0.0,2000,0.0,6.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
6,Adelphi University_NY,Adelphi University,NY,0.0,2001,0.0,7.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
7,Adelphi University_NY,Adelphi University,NY,0.0,2002,0.0,8.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
8,Adelphi University_NY,Adelphi University,NY,0.0,2003,0.0,9.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
9,Adelphi University_NY,Adelphi University,NY,0.0,2004,0.0,10.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
10,Adelphi University_NY,Adelphi University,NY,0.0,2005,0.0,11.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
11,Adelphi University_NY,Adelphi University,NY,0.0,2006,0.0,12.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
12,Adelphi University_NY,Adelphi University,NY,0.0,2007,0.0,13.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
13,Adelphi University_NY,Adelphi University,NY,0.0,2008,0.0,14.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
14,Adelphi University_NY,Adelphi University,NY,0.0,2009,0.0,15.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
15,Adelphi University_NY,Adelphi University,NY,0.0,2010,0.0,16.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
16,Adelphi University_NY,Adelphi University,NY,0.0,2011,0.0,17.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
17,Adelphi University_NY,Adelphi University,NY,0.0,2012,0.0,18.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
18,Adelphi University_NY,Adelphi University,NY,0.0,2013,0.0,19.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
19,Adelphi University_NY,Adelphi University,NY,0.0,2014,0.0,20.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
20,Adelphi University_NY,Adelphi University,NY,0.0,2015,0.0,21.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
21,Adelphi University_NY,Adelphi University,NY,0.0,2016,0.0,22.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
22,Adelphi University_NY,Adelphi University,NY,0.0,2017,0.0,23.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
23,Adelphi University_NY,Adelphi University,NY,0.0,2018,0.0,24.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
24,Adelphi University_NY,Adelphi University,NY,0.0,2019,0.0,25.0,0.0,,0.01031443249337188,0.0,0.0,47388550.0,4594392375.0,0.0,1000000.0,0.0
28,Alabama A&M University_AL,Alabama A&M University,AL,1.0,1995,0.0,1.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
29,Alabama A&M University_AL,Alabama A&M University,AL,1.0,1996,0.0,2.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
30,Alabama A&M University_AL,Alabama A&M University,AL,1.0,1997,0.0,3.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
31,Alabama A&M University_AL,Alabama A&M University,AL,1.0,1998,0.0,4.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
32,Alabama A&M University_AL,Alabama A&M University,AL,1.0,1999,0.0,5.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
33,Alabama A&M University_AL,Alabama A&M University,AL,1.0,2000,0.0,6.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
34,Alabama A&M University_AL,Alabama A&M University,AL,1.0,2001,0.0,7.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
35,Alabama A&M University_AL,Alabama A&M University,AL,1.0,2002,0.0,8.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
36,Alabama A&M University_AL,Alabama A&M University,AL,1.0,2003,0.0,9.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
37,Alabama A&M University_AL,Alabama A&M University,AL,1.0,2004,0.0,10.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
38,Alabama A&M University_AL,Alabama A&M University,AL,1.0,2005,0.0,11.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
39,Alabama A&M University_AL,Alabama A&M University,AL,1.0,2006,0.0,12.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
40,Alabama A&M University_AL,Alabama A&M University,AL,1.0,2007,0.0,13.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
41,Alabama A&M University_AL,Alabama A&M University,AL,1.0,2008,0.0,14.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
42,Alabama A&M University_AL,Alabama A&M University,AL,1.0,2009,0.0,15.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
43,Alabama A&M University_AL,Alabama A&M University,AL,1.0,2010,0.0,16.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
44,Alabama A&M University_AL,Alabama A&M University,AL,1.0,2011,0.0,17.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
45,Alabama A&M University_AL,Alabama A&M University,AL,1.0,2012,0.0,18.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
46,Alabama A&M University_AL,Alabama A&M University,AL,1.0,2013,0.0,19.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
47,Alabama A&M University_AL,Alabama A&M University,AL,1.0,2014,0.0,20.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
48,Alabama A&M University_AL,Alabama A&M University,AL,1.0,2015,0.0,21.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
49,Alabama A&M University_AL,Alabama A&M University,AL,1.0,2016,0.0,22.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
50,Alabama A&M University_AL,Alabama A&M University,AL,1.0,2017,0.0,23.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
51,Alabama A&M University_AL,Alabama A&M University,AL,1.0,2018,0.0,24.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
52,Alabama A&M University_AL,Alabama A&M University,AL,1.0,2019,0.0,25.0,0.0,,0.24212292145844355,0.0,0.0,430395175.0,1777589550.0,0.0,0.0,0.0
56,Albert Einstein College of Medicine_NY,Albert Einstein College of Medicine,NY,0.0,1995,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,381717.0,4252385.0,0.0
57,Albert Einstein College of Medicine_NY,Albert Einstein College of Medicine,NY,0.0,1996,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,381717.0,4252385.0,0.0
58,Albert Einstein College of Medicine_NY,Albert Einstein College of Medicine,NY,0.0,1997,0.0,3.0,0.0,,,0.0,0.0,0.0,0.0,381717.0,4252385.0,0.0
59,Albert Einstein College of Medicine_NY,Albert Einstein College of Medicine,NY,0.0,1998,0.0,4.0,0.0,,,0.0,0.0,0.0,0.0,381717.0,4252385.0,0.0
60,Albert Einstein College of Medicine_NY,Albert Einstein College of Medicine,NY,0.0,1999,0.0,5.0,0.0,,,0.0,0.0,0.0,0.0,381717.0,4252385.0,0.0
61,Albert Einstein College of Medicine_NY,Albert Einstein College of Medicine,NY,0.0,2000,0.0,6.0,0.0,,,0.0,0.0,0.0,0.0,381717.0,4252385.0,0.0
62,Albert Einstein College of Medicine_NY,Albert Einstein College of Medicine,NY,0.0,2001,0.0,7.0,0.0,,,0.0,0.0,0.0,0.0,381717.0,4252385.0,0.0
63,Albert Einstein College of Medicine_NY,Albert Einstein College of Medicine,NY,0.0,2002,0.0,8.0,0.0,,,0.0,0.0,0.0,0.0,381717.0,4252385.0,0.0
64,Albert Einstein College of Medicine_NY,Albert Einstein College of Medicine,NY,0.0,2003,0.0,9.0,0.0,,,0.0,0.0,0.0,0.0,381717.0,4252385.0,0.0
65,Albert Einstein College of Medicine_NY,Albert Einstein College of Medicine,NY,0.0,2004,0.0,10.0,0.0,,,0.0,0.0,0.0,0.0,381717.0,4252385.0,0.0
66,Albert Einstein College of Medicine_NY,Albert Einstein College of Medicine,NY,0.0,2005,0.0,11.0,0.0,,,0.0,0.0,0.0,0.0,381717.0,4252385.0,0.0
67,Albert Einstein College of Medicine_NY,Albert Einstein College of Medicine,NY,0.0,2006,0.0,12.0,0.0,,,0.0,0.0,0.0,0.0,381717.0,4252385.0,0.0
68,Albert Einstein College of Medicine_NY,Albert Einstein College of Medicine,NY,0.0,2007,0.0,13.0,0.0,,,0.0,0.0,0.0,0.0,381717.0,4252385.0,0.0
69,Albert Einstein College of Medicine_NY,Albert Einstein College of Medicine,NY,0.0,2008,0.0,14.0,0.0,,,0.0,0.0,0.0,0.0,381717.0,4252385.0,0.0
70,Albert Einstein College of Medicine_NY,Albert Einstein College of Medicine,NY,0.0,2009,0.0,15.0,0.0,,,0.0,0.0,0.0,0.0,381717.0,4252385.0,0.0
71,Albert Einstein College of Medicine_NY,Albert Einstein College of Medicine,NY,0.0,2010,0.0,16.0,0.0,,,0.0,0.0,0.0,0.0,381717.0,4252385.0,0.0
72,Albert Einstein College of Medicine_NY,Albert Einstein College of Medicine,NY,0.0,2011,0.0,17.0,0.0,,,0.0,0.0,0.0,0.0,381717.0,4252385.0,0.0
73,Albert Einstein College of Medicine_NY,Albert Einstein College of Medicine,NY,0.0,2012,0.0,18.0,0.0,,,0.0,0.0,0.0,0.0,381717.0,4252385.0,0.0
74,Albert Einstein College of Medicine_NY,Albert Einstein College of Medicine,NY,0.0,2013,0.0,19.0,0.0,,,0.0,0.0,0.0,0.0,381717.0,4252385.0,0.0
75,Albert Einstein College of Medicine_NY,Albert Einstein College of Medicine,NY,0.0,2014,0.0,20.0,0.0,,,0.0,0.0,0.0,0.0,381717.0,4252385.0,0.0
